Name,MIMEType,Extension,Description
vnd.ms-powerpoint.slideshow.macroenabled.12,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.ppsm,
vnd.openxmlformats-officedocument.presentationml.slideshow,application/vnd.openxmlformats-officedocument.presentationml.slideshow,.ppsx,
vnd.ms-powerpoint.presentation.macroenabled.12,application/vnd.ms-powerpoint.presentation.macroenabled.12,.pptm,
vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx,
vnd.lotus-freelance,application/vnd.lotus-freelance,.pre,
pics-rules,application/pics-rules,.prf,
prql,application/prql,.prql,"PRQL is a modern language for transforming data â€” a simple, powerful, pipelined SQL replacement."
vnd.3gpp.pic-bw-small,application/vnd.3gpp.pic-bw-small,.psb,
vnd.adobe.photoshop,image/vnd.adobe.photoshop,.psd,
x-font-linux-psf,application/x-font-linux-psf,.psf,
vnd.pvi.ptid1,application/vnd.pvi.ptid1,.ptid,
x-mspublisher,application/x-mspublisher,.pub,
vnd.3gpp.pic-bw-var,application/vnd.3gpp.pic-bw-var,.pvb,
vnd.3m.post-it-notes,application/vnd.3m.post-it-notes,.pwn,
x-python,text/x-python,.py,
vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,.pya,
x-python-code,application/x-python-code,.pyc.pyo,
vnd.ms-playready.media.pyv,video/vnd.ms-playready.media.pyv,.pyv,
vnd.epson.quickanime,application/vnd.epson.quickanime,.qam,
vnd.intu.qbo,application/vnd.intu.qbo,.qbo,
vnd.intu.qfx,application/vnd.intu.qfx,.qfx,
vnd.publishare-delta-tree,application/vnd.publishare-delta-tree,.qps,
vnd.quark.quarkxpress,application/vnd.quark.quarkxpress,.qwd.qwt.qxb.qxd.qxl.qxt,
x-pn-realaudio,audio/x-pn-realaudio,.ra.ram,
vnd.rar,application/vnd.rar,.rar,"<strong>R</strong>oshal <strong>AR</strong>chive (RAR) is a proprietary file format used by the compression software WinRAR. They make the decompression code available for use in other programs and allow its distribution, but with a license provision that ""You cannot use the unrar source to re-create the RAR compression algorithm, which is proprietary."
x-rar-compressed,application/x-rar-compressed,.rar,"<strong>R</strong>oshal <strong>AR</strong>chive (RAR) is a proprietary file format used by the compression software WinRAR. They make the decompression code available for use in other programs and allow its distribution, but with a license provision that ""You cannot use the unrar source to re-create the RAR compression algorithm, which is proprietary."
x-cmu-raster,image/x-cmu-raster,.ras,
vnd.ipunplugged.rcprofile,application/vnd.ipunplugged.rcprofile,.rcprofile,
rdf+xml,application/rdf+xml,.rdf,
vnd.data-vision.rdz,application/vnd.data-vision.rdz,.rdz,
vnd.businessobjects,application/vnd.businessobjects,.rep,
x-dtbresource+xml,application/x-dtbresource+xml,.res,
x-rgb,image/x-rgb,.rgb,
reginfo+xml,application/reginfo+xml,.rif,
resource-lists+xml,application/resource-lists+xml,.rl,
vnd.fujixerox.edmics-rlc,image/vnd.fujixerox.edmics-rlc,.rlc,
resource-lists-diff+xml,application/resource-lists-diff+xml,.rld,
vnd.rn-realmedia,application/vnd.rn-realmedia,.rm,
x-pn-realaudio-plugin,audio/x-pn-realaudio-plugin,.rmp,
vnd.jcp.javame.midlet-rms,application/vnd.jcp.javame.midlet-rms,.rms,
relax-ng-compact-syntax,application/relax-ng-compact-syntax,.rnc,
x-rpm,application/x-rpm,.rpm,
vnd.nokia.radio-presets,application/vnd.nokia.radio-presets,.rpss,
vnd.nokia.radio-preset,application/vnd.nokia.radio-preset,.rpst,
sparql-query,application/sparql-query,.rq,
rls-services+xml,application/rls-services+xml,.rs,
rsd+xml,application/rsd+xml,.rsd,
rss+xml,application/rss+xml,.rss.xml,"The MIME used for RSS feeds (RSS 0.9x, 2.0, 3.0 and others). Many feeds end up being served as plain text/html however and _most_ parsers seem to be able to handle this discrepancy.    RSS is an XML-based document format for the syndication of web
   content so that it can be republished on other sites or downloaded
   periodically and presented to users. RSS is currently used for a number of applications, including news headline syndication, weblog content distribution, and the exchange of other timely information such as software release notes."
rtf,application/rtf,.rtf,
richtext,text/richtext,.rtx,
vnd.yamaha.smaf-audio,application/vnd.yamaha.smaf-audio,.saf,
sbml+xml,application/sbml+xml,.sbml,
vnd.ibm.secure-container,application/vnd.ibm.secure-container,.sc,
x-msschedule,application/x-msschedule,.scd,
vnd.lotus-screencam,application/vnd.lotus-screencam,.scm,
scvp-cv-request,application/scvp-cv-request,.scq,
scvp-cv-response,application/scvp-cv-response,.scs,
vnd.curl.scurl,text/vnd.curl.scurl,.scurl,
vnd.stardivision.draw,application/vnd.stardivision.draw,.sda,
vnd.stardivision.calc,application/vnd.stardivision.calc,.sdc,
vnd.stardivision.impress,application/vnd.stardivision.impress,.sdd,
vnd.solent.sdkm+xml,application/vnd.solent.sdkm+xml,.sdkd.sdkm,
sdp,application/sdp,.sdp,
vnd.stardivision.writer,application/vnd.stardivision.writer,.sdw.vor,
vnd.seemail,application/vnd.seemail,.see,
vnd.sema,application/vnd.sema,.sema,
vnd.semd,application/vnd.semd,.semd,
vnd.semf,application/vnd.semf,.semf,
java-serialized-object,application/java-serialized-object,.ser,
set-payment-initiation,application/set-payment-initiation,.setpay,
set-registration-initiation,application/set-registration-initiation,.setreg,
vnd.hydrostatix.sof-data,application/vnd.hydrostatix.sof-data,.sfd-hdstx,
vnd.spotfire.sfs,application/vnd.spotfire.sfs,.sfs,
vnd.stardivision.writer-global,application/vnd.stardivision.writer-global,.sgl,
sgml,text/sgml,.sgm.sgml,
x-sh,application/x-sh,.sh,
x-shar,application/x-shar,.shar,
shf+xml,application/shf+xml,.shf,
vnd.wap.si,text/vnd.wap.si,.si,
vnd.wap.sic,application/vnd.wap.sic,.sic,
vnd.symbian.install,application/vnd.symbian.install,.sis.sisx,
x-stuffit,application/x-stuffit,.sit,
x-stuffitx,application/x-stuffitx,.sitx,
vnd.koan,application/vnd.koan,.skd.skm.skp.skt,
vnd.wap.sl,text/vnd.wap.sl,.sl,
vnd.wap.slc,application/vnd.wap.slc,.slc,
vnd.ms-powerpoint.slide.macroenabled.12,application/vnd.ms-powerpoint.slide.macroenabled.12,.sldm,
vnd.openxmlformats-officedocument.presentationml.slide,application/vnd.openxmlformats-officedocument.presentationml.slide,.sldx,
vnd.epson.salt,application/vnd.epson.salt,.slt,
vnd.stardivision.math,application/vnd.stardivision.math,.smf,
smil+xml,application/smil+xml,.smi.smil,
x-font-snf,application/x-font-snf,.snf,
vnd.yamaha.smaf-phrase,application/vnd.yamaha.smaf-phrase,.spf,
x-futuresplash,application/x-futuresplash,.spl,
vnd.in3d.spot,text/vnd.in3d.spot,.spot,
scvp-vp-response,application/scvp-vp-response,.spp,
scvp-vp-request,application/scvp-vp-request,.spq,
x-wais-source,application/x-wais-source,.src,
sparql-results+xml,application/sparql-results+xml,.srx,
vnd.kodak-descriptor,application/vnd.kodak-descriptor,.sse,
vnd.epson.ssf,application/vnd.epson.ssf,.ssf,
ssml+xml,application/ssml+xml,.ssml,
vnd.sun.xml.calc.template,application/vnd.sun.xml.calc.template,.stc,
vnd.sun.xml.draw.template,application/vnd.sun.xml.draw.template,.std,
vnd.wt.stf,application/vnd.wt.stf,.stf,
vnd.sun.xml.impress.template,application/vnd.sun.xml.impress.template,.sti,
hyperstudio,application/hyperstudio,.stk,
vnd.ms-pki.stl,application/vnd.ms-pki.stl,.stl,
vnd.pg.format,application/vnd.pg.format,.str,
vnd.sun.xml.writer.template,application/vnd.sun.xml.writer.template,.stw,
vnd.sus-calendar,application/vnd.sus-calendar,.sus.susp,
x-sv4cpio,application/x-sv4cpio,.sv4cpio,
x-sv4crc,application/x-sv4crc,.sv4crc,
vnd.svd,application/vnd.svd,.svd,
svg+xml,image/svg+xml,.svg.svgz,
x-shockwave-flash,application/x-shockwave-flash,.swf,
vnd.arastra.swi,application/vnd.arastra.swi,.swi,
vnd.sun.xml.calc,application/vnd.sun.xml.calc,.sxc,
vnd.sun.xml.draw,application/vnd.sun.xml.draw,.sxd,
vnd.sun.xml.writer.global,application/vnd.sun.xml.writer.global,.sxg,
vnd.sun.xml.impress,application/vnd.sun.xml.impress,.sxi,
vnd.sun.xml.math,application/vnd.sun.xml.math,.sxm,
vnd.sun.xml.writer,application/vnd.sun.xml.writer,.sxw,
vnd.tao.intent-module-archive,application/vnd.tao.intent-module-archive,.tao,
x-tar,application/x-tar,.tar,
vnd.3gpp2.tcap,application/vnd.3gpp2.tcap,.tcap,
x-tcl,application/x-tcl,.tcl,
vnd.smart.teacher,application/vnd.smart.teacher,.teacher,
x-tex,application/x-tex,.tex,
x-texinfo,application/x-texinfo,.texi.texinfo,
x-tex-tfm,application/x-tex-tfm,.tfm,
tiff,image/tiff,.tif.tiff,"TIFF, formerly known as Tag(ged) Image File Format, is an image format capable of storing multiple high quality images in a single file. <br /><br />A TIFF image may be uncompressed or use a compression scheme internally. Two of the most widely used compression schemes in TIFF files are lossless, including LZW and, for bitonal images CCITT Group 4, as used for facsimile transmission [fax]. JPEG baseline DCT-based lossy compression is also used."
vnd.tmobile-livetv,application/vnd.tmobile-livetv,.tmo,
x-bittorrent,application/x-bittorrent,.torrent,
vnd.groove-tool-template,application/vnd.groove-tool-template,.tpl,
vnd.trid.tpt,application/vnd.trid.tpt,.tpt,
vnd.trueapp,application/vnd.trueapp,.tra,
x-msterminal,application/x-msterminal,.trm,
tab-separated-values,text/tab-separated-values,.tsv,
x-font-ttf,application/x-font-ttf,.ttc.ttf,
vnd.simtech-mindmapper,application/vnd.simtech-mindmapper,.twd.twds,
vnd.genomatix.tuxedo,application/vnd.genomatix.tuxedo,.txd,
vnd.mobius.txf,application/vnd.mobius.txf,.txf,
vnd.ufdl,application/vnd.ufdl,.ufd.ufdl,
mimetype,test/mimetype,.test,"This mimetype is a test! Ignore it, it's not real."
vnd.umajin,application/vnd.umajin,.umj,
vnd.unity,application/vnd.unity,.unityweb,
vnd.uoml+xml,application/vnd.uoml+xml,.uoml,
uri-list,text/uri-list,.uri.uris.urls,
x-ustar,application/x-ustar,.ustar,
vnd.uiq.theme,application/vnd.uiq.theme,.utz,
x-uuencode,text/x-uuencode,.uu,
x-cdlink,application/x-cdlink,.vcd,
x-vcard,text/x-vcard,.vcf,
vnd.groove-vcard,application/vnd.groove-vcard,.vcg,
x-vcalendar,text/x-vcalendar,.vcs,
vnd.vcx,application/vnd.vcx,.vcx,
vnd.visionary,application/vnd.visionary,.vis,
vnd.vivo,video/vnd.vivo,.viv,
vrml,model/vrml,.vrml.wrl,
vnd.visio,application/vnd.visio,.vsd.vss.vst.vsw.vsdx.vssx.vstx.vssm.vstm,
vnd.vsf,application/vnd.vsf,.vsf,
vnd.vtu,model/vnd.vtu,.vtu,
voicexml+xml,application/voicexml+xml,.vxml,
x-doom,application/x-doom,.wad,
mp2t,video/mp2t,.ts,"MPEG Transport Stream (or MPEG-2 Transport Stream) is an MPEG multimedia format that allows interleaving more than one Packetized Elementary Stream in a single file. It is an alternative to MPEG Program Stream, designed to work better with certain kinds of streaming. It was introduced in the MPEG-2 standard. There is a variant format named M2TS, used with Blu-ray discs.<br /><br />Alternatively, you got here like I did by selecting a typescript file. That's wrong, that's your browser doing that. There's no official standard for typescript."
vnd.wav,audio/vnd.wav,.wav,"The Waveform Audio File Format (WAV or WAVE) is a widely used audio format, originally developed by Microsoft and IBM and based on the RIFF wrapper format. The usual audio encoding in a .wav file is LPCM, considered an 'uncompressed' encoding. Because of large file sizes, WAV is not well-suited for distributing audio such as songs or podcasts. WAV is used in MS-Windows to store sounds used in applications. It is also used as an archival format for first-generation (master) files, often with a metadata chunk as specified in the Broadcast Wave (BWF) standard.<br /><br />Note a contributor has discovered compatibility issues with browsers and the official type. See the attached issue for more information."
x-ms-wax,audio/x-ms-wax,.wax,
vnd.wap.wbmp,image/vnd.wap.wbmp,.wbmp,
vnd.criticaltools.wbs+xml,application/vnd.criticaltools.wbs+xml,.wbs,
vnd.wap.wbxml,application/vnd.wap.wbxml,.wbxml,
vnd.ms-works,application/vnd.ms-works,.wcm.wdb.wks.wps,
x-ms-wm,video/x-ms-wm,.wm,
x-ms-wma,audio/x-ms-wma,.wma,
x-ms-wmd,application/x-ms-wmd,.wmd,
x-msmetafile,application/x-msmetafile,.wmf,
vnd.wap.wml,text/vnd.wap.wml,.wml,
vnd.wap.wmlc,application/vnd.wap.wmlc,.wmlc,
vnd.wap.wmlscript,text/vnd.wap.wmlscript,.wmls,
vnd.wap.wmlscriptc,application/vnd.wap.wmlscriptc,.wmlsc,
x-ms-wmv,video/x-ms-wmv,.wmv,
x-ms-wmx,video/x-ms-wmx,.wmx,
x-ms-wmz,application/x-ms-wmz,.wmz,
vnd.wordperfect,application/vnd.wordperfect,.wpd,
vnd.ms-wpl,application/vnd.ms-wpl,.wpl,
vnd.wqd,application/vnd.wqd,.wqd,
x-mswrite,application/x-mswrite,.wri,
wsdl+xml,application/wsdl+xml,.wsdl,
wspolicy+xml,application/wspolicy+xml,.wspolicy,
vnd.webturbo,application/vnd.webturbo,.wtb,
x-ms-wvx,video/x-ms-wvx,.wvx,
vnd.hzn-3d-crossword,application/vnd.hzn-3d-crossword,.x3d,
x-silverlight-app,application/x-silverlight-app,.xap,
vnd.xara,application/vnd.xara,.xar,
x-ms-xbap,application/x-ms-xbap,.xbap,
vnd.fujixerox.docuworks.binder,application/vnd.fujixerox.docuworks.binder,.xbd,
x-xbitmap,image/x-xbitmap,.xbm,
vnd.syncml.dm+xml,application/vnd.syncml.dm+xml,.xdm,
vnd.adobe.xdp+xml,application/vnd.adobe.xdp+xml,.xdp,
vnd.fujixerox.docuworks,application/vnd.fujixerox.docuworks,.xdw,
xenc+xml,application/xenc+xml,.xenc,
patch-ops-error+xml,application/patch-ops-error+xml,.xer,
vnd.adobe.xfdf,application/vnd.adobe.xfdf,.xfdf,
vnd.xfdl,application/vnd.xfdl,.xfdl,
xhtml+xml,application/xhtml+xml,.xht.xhtml,
vnd.xiff,image/vnd.xiff,.xif,
vnd.ms-excel,application/vnd.ms-excel,.xla.xlb.xlc.xlm.xls.xlt.xlw,
vnd.ms-excel.addin.macroenabled.12,application/vnd.ms-excel.addin.macroenabled.12,.xlam,
vnd.ms-excel.sheet.binary.macroenabled.12,application/vnd.ms-excel.sheet.binary.macroenabled.12,.xlsb,
vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-excel.sheet.macroenabled.12,.xlsm,
vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx,
vnd.ms-excel.template.macroenabled.12,application/vnd.ms-excel.template.macroenabled.12,.xltm,
vnd.openxmlformats-officedocument.spreadsheetml.template,application/vnd.openxmlformats-officedocument.spreadsheetml.template,.xltx,
xml,application/xml,.xml.xpdl.xsl,
vnd.olpc-sugar,application/vnd.olpc-sugar,.xo,
xop+xml,application/xop+xml,.xop,
x-xpinstall,application/x-xpinstall,.xpi,
x-xpixmap,image/x-xpixmap,.xpm,
vnd.is-xpr,application/vnd.is-xpr,.xpr,
vnd.ms-xpsdocument,application/vnd.ms-xpsdocument,.xps,
vnd.intercon.formnet,application/vnd.intercon.formnet,.xpw.xpx,
xslt+xml,application/xslt+xml,.xslt,
vnd.syncml+xml,application/vnd.syncml+xml,.xsm,
xspf+xml,application/xspf+xml,.xspf,
vnd.mozilla.xul+xml,application/vnd.mozilla.xul+xml,.xul,
x-xwindowdump,image/x-xwindowdump,.xwd,
x-xyz,chemical/x-xyz,.xyz,
vnd.zzazz.deck+xml,application/vnd.zzazz.deck+xml,.zaz,
zip,application/zip,.zip,"ZIP is one of the most popular file compression formats. It was created in 1989 as the native format of the PKZIP program, which was introduced by Phil Katz in the wake of a lawsuit (which he lost) against him by the makers of the then-popular ARC program (and file format) for copyright and trademark infringement in an earlier program PKARC which had been file-compatible with ARC. <br /><br />This resulted in Katz creating a new file format, which rapidly overtook ARC in popularity (to a large extent because of BBS sysops, then the primary users of such compression, resenting the lawsuit). Many programs have been released for a variety of operating systems to compress and decompress ZIP files, and native support for the format is built into several popular operating systems."
x-zip-compressed,application/x-zip-compressed,.zip,"ZIP is one of the most popular file compression formats. It was created in 1989 as the native format of the PKZIP program, which was introduced by Phil Katz in the wake of a lawsuit (which he lost) against him by the makers of the then-popular ARC program (and file format) for copyright and trademark infringement in an earlier program PKARC which had been file-compatible with ARC. <br /><br />This resulted in Katz creating a new file format, which rapidly overtook ARC in popularity (to a large extent because of BBS sysops, then the primary users of such compression, resenting the lawsuit). Many programs have been released for a variety of operating systems to compress and decompress ZIP files, and native support for the format is built into several popular operating systems."
zip-compressed,application/zip-compressed,.zip,"ZIP is one of the most popular file compression formats. It was created in 1989 as the native format of the PKZIP program, which was introduced by Phil Katz in the wake of a lawsuit (which he lost) against him by the makers of the then-popular ARC program (and file format) for copyright and trademark infringement in an earlier program PKARC which had been file-compatible with ARC. <br /><br />This resulted in Katz creating a new file format, which rapidly overtook ARC in popularity (to a large extent because of BBS sysops, then the primary users of such compression, resenting the lawsuit). Many programs have been released for a variety of operating systems to compress and decompress ZIP files, and native support for the format is built into several popular operating systems."
vnd.zul,application/vnd.zul,.zir.zirz,
vnd.handheld-entertainment+xml,application/vnd.handheld-entertainment+xml,.zmm,
x-adobe-dng,image/x-adobe-dng,.dng,"DNG (Digital Negative) is a digital camera raw image format developed by Adobe and released in 2004. Adobe also released a free DNG converter at this time which is continually being updated with compatible RAW file types. DNG is an extension of TIFF 6.0 and is compatible with TIFF/EP.<br /><br />Adobe intends for DNG to become an archival file type, creating an open standard for RAW files."
x-sony-arw,image/x-sony-arw,.arw,Sony ARW is a raw image format used by some Sony digital cameras. It is based on TIFF.
x-canon-cr2,image/x-canon-cr2,.cr2,"Canon RAW 2 (CR2) is a raw image format used by Canon cameras. It replaced CRW, starting with the 20D, 350D/Digital Rebel Xt and 1D. It was replaced by Canon RAW 3."
x-canon-crw,image/x-canon-crw,.crw,"The Camera Image File Format, sometimes called the Canon RAW (CRW) format, was used by some early Canon digital cameras. It was replaced by the CR2 format starting with the EOS 20D in 2004. The .crw extension is sometimes used by CHDK, but this is a different file format."
x-kodak-dcr,image/x-kodak-dcr,.dcr,"This is another proprietary format, used by old Kodak DCS digital cameras. It is based on TIFF. The full-resolution image is in one of the sub-IFDs of the first IFD. A possible way to identify it is that it uses Compression code 65000 in an IFD or sub-IFD."
x-epson-erf,image/x-epson-erf,.erf,ERF files are generated by the Epson R-D1 and R-D1s digital rangefinder cameras.
x-kodak-k25,image/x-kodak-k25,.k25,"K25 format was used by model DC25. High resolution pictures are 140,352 bytes long and Standard resolution is 77,888."
x-kodak-kdc,image/x-kodak-kdc,.kdc,Kodak KDC mime and extension can be present for two formats with little in common. See further reading for more information.
x-minolta-mrw,image/x-minolta-mrw,.mrw,"MRW (Minolta RAW) is a raw image format used by Minolta (later Konica-Minolta) cameras. After the Sony purchase, Sony branded SLR use a different format: ARW."
x-nikon-nef,image/x-nikon-nef,.nef,"Nikon Electronic Format is Nikon's RAW digital image format for DSLR cameras. It is a close relative to TIFF, and has a standard TIFF header. NEF files are usually big-endian, with the exception of files from the Coolpix 5700, which were little-endian. Data can be either 12- or 14-bit (from 2005's D200 onwards), and depending on the camera may be uncompressed, losslessly compressed, or lossily compressed."
x-olympus-orf,image/x-olympus-orf,.orf,"ORF, or Olympus RAW, is a raw image format produced by Olympus digital cameras. The format is TIFF-like, but with a different file signature. The full-size image is in the first IFD. There is also Exif data, with a MakerNote.

"
x-pentax-pef,image/x-pentax-pef,.pef.ptx,Pentax PEF (or Pentax RAW) is a raw image format associated with Pentax digital cameras. It is based on TIFF.
x-fuji-raf,image/x-fuji-raf,.raf,"RAF, or Fujifilm RAW, is a raw image format used by some Fujifilm digital cameras."
x-panasonic-raw,image/x-panasonic-raw,.raw.rw2.rwl,"Panasonic RAW/RW2, also known as Leica RAW or RWL, is a raw image format used by some Panasonic and Leica digital cameras. It can also be known by a camera-specific name such as Lumix RAW or Panasonic LX3 RAW.<br /><br />Different cameras produce different versions of it, and at some point the .raw file extension was changed to .rw2. The term Panasonic RAW might refer to just the .raw files, but more likely includes both .raw and .rw2."
flac,audio/flac,.flac,"FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality. <br /><br />It can encode audio with a PCM bit resolution up to 32 bits per sample and sampling rates up to 640 kHz. FLAC-encoded audio is usually found either in a native container (which has the extension .flac), or in an Ogg container (when it's known as OggFLAC)."
x-sony-sr2,image/x-sony-sr2,.sr2,SR2 is a raw image format produced by some makes of Sony cameras. The format is based upon TIFF.
x-sony-srf,image/x-sony-srf,.srf,
x-sigma-x3f,image/x-sigma-x3f,.x3f,"X3F (or Sigma X3F, or Foveon X3F) is a raw image format used by some Sigma digital cameras that use a ""Foveon sensor""."